timedelta,n_tokens_title,n_tokens_content,n_unique_tokens,n_non_stop_words,n_non_stop_unique_tokens,num_hrefs,num_self_hrefs,num_imgs,num_videos,average_token_length,num_keywords,data_channel_is_lifestyle,data_channel_is_entertainment,data_channel_is_bus,data_channel_is_socmed,data_channel_is_tech,data_channel_is_world,self_reference_min_shares,self_reference_max_shares,self_reference_avg_sharess,weekday_is_monday,weekday_is_tuesday,weekday_is_wednesday,weekday_is_thursday,weekday_is_friday,weekday_is_saturday,weekday_is_sunday,is_weekend,LDA_00,LDA_01,LDA_02,LDA_03,LDA_04,global_subjectivity,global_sentiment_polarity,global_rate_positive_words,global_rate_negative_words,rate_positive_words,rate_negative_words,avg_positive_polarity,min_positive_polarity,max_positive_polarity,avg_negative_polarity,min_negative_polarity,max_negative_polarity,title_subjectivity,title_sentiment_polarity,abs_title_subjectivity,abs_title_sentiment_polarity,shares
371,10,834,0.437424057792,0.999999997972,0.596348883172,20,0,1,0,4.948441247,6,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.0333339395196,0.0333337415128,0.866663912639,0.0333335516753,0.0333348546529,0.505859083445,0.0936542767577,0.0431654676259,0.0227817745803,0.654545454545,0.345454545455,0.347130832131,0.136363636364,0.6,-0.215601503759,-0.6,-0.05,0.708333333333,0.0416666666667,0.208333333333,0.0416666666667,7.00306545878646
501,12,607,0.492586490128,0.999999997151,0.683760681813,13,0,1,0,4.56836902801,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.866666374975,0.0333334698459,0.0333333901193,0.0333333904232,0.0333333746367,0.488220164609,0.225982042649,0.0576606260297,0.0164744645799,0.777777777778,0.222222222222,0.466038961039,0.1,1,-0.280833333333,-0.5,-0.0666666666667,0.466666666667,0.475,0.0333333333333,0.475,8.36637030168165
602,8,132,0.769230763314,0.999999988372,0.848837199432,4,0,0,0,5.18939393939,7,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.0285720995988,0.0285721009574,0.571416662546,0.0285719169256,0.342867219972,0.415740740741,-0.0824074074074,0.0227272727273,0.0530303030303,0.3,0.7,0.266666666667,0.1,0.5,-0.255555555556,-0.6,-0.133333333333,0,0,0.5,0,6.60934924316738
481,12,486,0.48625792709,0.999999996466,0.614840987227,4,3,1,0,4.60288065844,10,0,0,0,0,1,0,4100,4100,4100,0,0,0,0,0,1,0,1,0.124085207165,0.0200005826936,0.0200043051907,0.0200002608397,0.815909644111,0.460446775447,0.147498057498,0.0493827160494,0.0164609053498,0.75,0.25,0.316893939394,0.0333333333333,1,-0.164583333333,-0.25,-0.05,0.2,0.2,0.3,0.2,7.09007683577609
275,13,1111,0.393217231537,0.999999998553,0.519536902287,14,1,17,0,4.90909090909,8,0,0,0,0,0,1,6000,6000,6000,0,1,0,0,0,0,0,0,0.0250111582001,0.0250002716456,0.899987539184,0.0250001983336,0.025000832637,0.395915504249,0.165575062797,0.043204320432,0.00540054005401,0.888888888889,0.111111111111,0.321558216089,0.05,0.8,-0.15625,-0.3,-0.1,0,0,0.5,0,7.09007683577609
534,11,309,0.652317878635,0.99999999505,0.7326732637,13,7,1,3,4.61165048544,6,0,1,0,0,0,0,552,1800,1044,0,1,0,0,0,0,0,0,0.033334637097,0.034110945012,0.0333898048279,0.865831224844,0.0333333882196,0.474234693878,0.0181547619048,0.0485436893204,0.0323624595469,0.6,0.4,0.315079365079,0.05,1,-0.4125,-0.7,-0.125,1,-0.5,0.5,0.5,6.62406522779989
673,12,495,0.555555554412,0.999999997085,0.676384837678,8,1,1,0,5.11515151515,5,0,0,1,0,0,0,833,833,833,0,0,1,0,0,0,0,0,0.839998131913,0.0400008199786,0.04000076218,0.0400001163348,0.0400001695936,0.338752913753,0.175711193568,0.0727272727273,0.0020202020202,0.972972972973,0.027027027027,0.308375420875,0.0333333333333,1,-0.291666666667,-0.291666666667,-0.291666666667,0.25,0.0681818181818,0.25,0.0681818181818,6.90775527898214
169,11,401,0.555837562041,0.999999995868,0.719008261492,9,0,2,0,4.83790523691,6,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0.0333350394932,0.199868992488,0.0333877488921,0.033334391324,0.700073827803,0.500732323232,0.107297077922,0.0523690773067,0.0149625935162,0.777777777778,0.222222222222,0.267609771181,0.1,0.5,-0.274107142857,-0.714285714286,-0.142857142857,0,0,0.5,0,7.09007683577609
436,10,231,0.519047616576,0.999999993711,0.515723267197,22,3,18,0,5.17316017316,10,0,0,0,0,0,0,56000,56000,56000,0,1,0,0,0,0,0,0,0.020682479705,0.122638647826,0.0200392475455,0.521763695203,0.314875929721,0.422619047619,0.0440476190476,0.012987012987,0.012987012987,0.5,0.5,0.261111111111,0.2,0.333333333333,-0.0916666666667,-0.125,-0.05,0,0,0.5,0,8.83927669058535
715,11,94,0.808510629697,0.999999980392,0.960784294887,3,2,0,1,4.41489361702,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0333873743789,0.0336425902822,0.0334081007425,0.866224906292,0.0333370283039,0.333888888889,0.0925,0.063829787234,0.0106382978723,0.857142857143,0.142857142857,0.283333333333,0.05,0.7,-0.4,-0.4,-0.4,0,0,0.5,0,7.60090245954208
